                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3245,                0.74556,                  1.258,                 1.3879,                0.89517,                 1.2584,                0.83745,                0.77556,                0.85338,                0.38056,                 1.8147,                0.75112,                 1.2152,                 1.9961,                 0.9026,                 1.2473,              0.0033278,              0.0033278,              0.0033278
                      2,                 1.1417,                0.51487,                 1.1515,                 1.2184,                0.47636,                 1.1701,                0.84559,                0.75138,                0.84338,                0.38143,                 1.8107,                 0.7455,                 1.2019,                 1.9859,                0.88331,                  1.224,              0.0065952,              0.0065952,              0.0065952
                      3,                 1.1524,                0.54263,                 1.1702,                 1.2342,                0.49786,                 1.1911,                0.72212,                 0.6244,                0.68361,                0.24526,                 2.1928,                 1.0293,                 1.3885,                 2.3701,                 1.2016,                 1.3989,              0.0097965,              0.0097965,              0.0097965
                      4,                 1.1543,                0.54944,                 1.1735,                 1.2451,                0.50673,                  1.201,                0.80372,                 0.7088,                0.77833,                0.32787,                 1.9341,                0.83381,                 1.2954,                 2.1394,                 0.9604,                 1.3277,               0.009703,               0.009703,               0.009703
                      5,                 1.0962,                0.50812,                 1.1585,                 1.1774,                0.46349,                 1.1807,                0.82432,                0.66054,                 0.7618,                0.31009,                 2.0111,                0.94307,                  1.302,                 2.1507,                 1.1746,                 1.3174,               0.009703,               0.009703,               0.009703
                      6,                 1.0624,                0.48494,                 1.1426,                   1.14,                0.43856,                 1.1639,                0.77238,                0.69882,                0.76444,                0.31563,                 1.9809,                0.81996,                 1.3095,                  2.167,                0.97513,                 1.3306,               0.009604,               0.009604,               0.009604
                      7,                  1.031,                0.46466,                 1.1312,                 1.1048,                0.41915,                 1.1509,                 0.8372,                0.72129,                0.80024,                0.33635,                 1.9628,                0.81051,                 1.2741,                  2.121,                0.96141,                 1.2843,               0.009505,               0.009505,               0.009505
                      8,                 1.0119,                0.44993,                 1.1217,                 1.0843,                0.40141,                 1.1409,                0.85412,                0.58923,                0.72584,                0.31042,                 2.0017,                 1.1977,                 1.3244,                 2.1602,                 1.6649,                 1.3215,               0.009406,               0.009406,               0.009406
                      9,                0.99234,                0.43956,                 1.1163,                 1.0609,                0.39258,                  1.134,                0.88381,                0.76947,                0.84489,                0.37626,                 1.8637,                0.74069,                 1.2338,                 2.0196,                0.84099,                 1.2436,               0.009307,               0.009307,               0.009307
                     10,                0.98469,                0.43356,                 1.1104,                 1.0522,                0.38303,                 1.1282,                0.85683,                0.57359,                 0.6916,                0.29186,                 2.0059,                  1.074,                  1.306,                 2.1602,                 1.6746,                 1.3009,               0.009208,               0.009208,               0.009208
                     11,                0.96789,                0.42432,                 1.1032,                 1.0335,                0.37295,                 1.1196,                0.82066,                0.66397,                0.73512,                0.27129,                 2.2336,                 0.9285,                 1.4461,                 2.2952,                 1.1721,                 1.4105,               0.009109,               0.009109,               0.009109
                     12,                0.95742,                0.41774,                 1.0988,                 1.0198,                0.36779,                 1.1137,                0.86857,                0.70733,                0.80731,                0.34611,                  1.946,                0.88249,                  1.264,                 2.0979,                 1.0937,                 1.2729,                0.00901,                0.00901,                0.00901
                     13,                0.94686,                0.41356,                 1.0908,                 1.0105,                0.36738,                 1.1053,                0.83587,                0.58629,                0.70675,                0.27113,                 2.1869,                 1.1046,                 1.4095,                 2.3176,                 1.5825,                 1.4035,               0.008911,               0.008911,               0.008911
                     14,                 0.9499,                0.41218,                 1.0917,                 1.0123,                 0.3664,                 1.1067,                0.81879,                 0.6118,                0.71353,                0.26307,                 2.2618,                 1.0782,                 1.4492,                 2.3247,                 1.5815,                 1.4063,               0.008812,               0.008812,               0.008812
                     15,                0.93557,                0.40495,                  1.085,                0.99817,                0.36086,                 1.0989,                0.85388,                0.73305,                0.81148,                0.34946,                 1.9596,                  0.816,                  1.284,                  2.107,                 0.9932,                 1.2891,               0.008713,               0.008713,               0.008713
                     16,                0.92399,                0.40002,                 1.0794,                0.98524,                 0.3511,                 1.0935,                 0.8809,                0.75626,                0.85325,                0.39032,                 1.8208,                0.79033,                 1.2192,                 2.0099,                0.92912,                 1.2474,               0.008614,               0.008614,               0.008614
                     17,                0.91472,                0.39699,                 1.0783,                0.97456,                0.35331,                 1.0916,                0.84413,                 0.7109,                0.78917,                0.31933,                 2.0694,                0.80611,                 1.3335,                 2.1902,                 1.0599,                 1.3282,               0.008515,               0.008515,               0.008515
                     18,                0.91234,                0.39579,                 1.0727,                 0.9739,                0.35611,                 1.0869,                0.83759,                0.67455,                0.75961,                0.31087,                 2.0674,                0.86592,                 1.3436,                 2.2145,                 1.1231,                 1.3495,               0.008416,               0.008416,               0.008416
                     19,                0.90435,                0.39026,                 1.0681,                0.96351,                0.34764,                 1.0817,                0.87014,                0.63111,                0.74609,                0.33944,                  1.907,                0.91893,                 1.2663,                  2.085,                 1.3804,                 1.2734,               0.008317,               0.008317,               0.008317
                     20,                0.89301,                0.38502,                 1.0649,                0.95134,                0.34364,                 1.0774,                0.82868,                0.68499,                0.76774,                0.32711,                 2.0098,                0.84904,                  1.331,                 2.1625,                 1.1368,                 1.3392,               0.008218,               0.008218,               0.008218
                     21,                0.88748,                0.38205,                 1.0599,                0.94525,                 0.3396,                 1.0724,                0.88188,                0.72965,                0.82122,                0.38123,                 1.8465,                0.75197,                 1.2235,                 2.0279,                0.99198,                 1.2488,               0.008119,               0.008119,               0.008119
                     22,                0.88919,                0.38133,                 1.0596,                0.94485,                0.33769,                 1.0715,                0.86972,                0.74638,                0.83241,                0.37484,                 1.8651,                0.77654,                 1.2273,                  2.016,                0.93325,                 1.2486,                0.00802,                0.00802,                0.00802
                     23,                0.87605,                0.37612,                 1.0578,                0.93306,                0.33132,                 1.0708,                0.86246,                0.73861,                0.82797,                0.37463,                 1.8528,                0.76014,                 1.2318,                 1.9868,                0.95011,                 1.2407,               0.007921,               0.007921,               0.007921
                     24,                0.87995,                0.37687,                  1.059,                0.93418,                0.33307,                 1.0707,                0.86755,                0.71509,                0.80984,                0.35221,                  1.957,                0.88015,                 1.2853,                 2.1164,                 1.1273,                 1.3007,               0.007822,               0.007822,               0.007822
                     25,                0.87302,                0.37328,                 1.0545,                0.92956,                0.33358,                 1.0664,                0.84651,                 0.6541,                0.75791,                0.30881,                 2.0816,                0.95556,                 1.3464,                 2.1881,                 1.3204,                 1.3379,               0.007723,               0.007723,               0.007723
                     26,                0.86653,                0.36947,                 1.0556,                0.92115,                0.32529,                 1.0679,                  0.857,                0.69903,                0.78928,                0.33755,                 1.9851,                0.83473,                 1.2954,                 2.1296,                 1.1303,                 1.3051,               0.007624,               0.007624,               0.007624
                     27,                0.86287,                0.36943,                 1.0518,                0.91686,                0.32461,                 1.0639,                0.88879,                0.75698,                0.84749,                0.38806,                 1.8522,                0.72812,                 1.2243,                 2.0191,                0.89659,                 1.2436,               0.007525,               0.007525,               0.007525
                     28,                0.85898,                0.36625,                 1.0483,                0.91281,                0.32056,                 1.0595,                0.85622,                0.69264,                0.79896,                0.35743,                 1.9174,                0.81913,                 1.2684,                 2.0605,                 1.1101,                 1.2772,               0.007426,               0.007426,               0.007426
                     29,                0.85413,                0.36511,                 1.0434,                0.90608,                0.32053,                 1.0549,                0.88423,                0.72024,                0.82937,                0.37518,                 1.8939,                0.79851,                 1.2555,                 2.0327,                 1.0745,                 1.2616,               0.007327,               0.007327,               0.007327
                     30,                0.84464,                0.36248,                  1.042,                0.89855,                0.31848,                 1.0544,                0.87371,                0.69484,                0.80399,                0.35465,                 1.9463,                0.85301,                  1.284,                 2.0776,                 1.1698,                 1.2854,               0.007228,               0.007228,               0.007228
                     31,                0.84449,                0.35913,                 1.0398,                0.89841,                0.31593,                 1.0521,                0.87004,                0.71877,                0.80807,                0.34678,                 1.9899,                0.83651,                 1.3023,                 2.1146,                 1.1204,                 1.3048,               0.007129,               0.007129,               0.007129
                     32,                  0.847,                0.36011,                 1.0395,                0.89995,                0.31747,                 1.0514,                0.87417,                0.70449,                0.79957,                0.34509,                 1.9854,                0.81896,                 1.3017,                 2.1177,                 1.1176,                 1.3008,                0.00703,                0.00703,                0.00703
                     33,                0.83319,                0.35439,                 1.0334,                 0.8864,                0.30953,                 1.0447,                0.87454,                0.75866,                0.84766,                0.38547,                  1.859,                0.73111,                 1.2318,                 2.0076,                0.90961,                 1.2451,               0.006931,               0.006931,               0.006931
                     34,                0.82355,                0.35178,                 1.0256,                0.87664,                0.31223,                 1.0371,                0.87201,                0.73494,                0.82821,                0.36446,                  1.933,                  0.755,                 1.2603,                 2.0638,                 1.0034,                 1.2669,               0.006832,               0.006832,               0.006832
                     35,                0.82595,                0.35078,                 1.0325,                0.87733,                0.30845,                 1.0444,                0.88433,                0.76002,                 0.8447,                0.37794,                 1.8981,                0.72988,                 1.2505,                 2.0315,                0.93326,                 1.2594,               0.006733,               0.006733,               0.006733
                     36,                0.82277,                0.34732,                  1.031,                0.87419,                0.30819,                 1.0419,                0.89055,                0.76863,                0.84745,                0.38571,                 1.8621,                0.70662,                 1.2367,                 2.0233,                0.88555,                 1.2536,               0.006634,               0.006634,               0.006634
                     37,                0.82035,                0.34606,                 1.0279,                0.87244,                 0.3031,                 1.0391,                0.89575,                0.76937,                0.85164,                0.37683,                 1.9036,                0.72515,                 1.2485,                 2.0503,                0.89874,                 1.2632,               0.006535,               0.006535,               0.006535
                     38,                0.81258,                0.34404,                 1.0277,                0.86355,                0.30197,                 1.0384,                0.87854,                0.75005,                0.83603,                0.37011,                 1.9108,                0.76009,                 1.2529,                 2.0659,                0.97643,                 1.2723,               0.006436,               0.006436,               0.006436
                     39,                0.80971,                0.34216,                 1.0277,                0.86079,                0.29753,                 1.0395,                0.88805,                0.73473,                0.82664,                0.36094,                 1.9468,                0.78214,                 1.2741,                 2.0826,                  1.038,                 1.2807,               0.006337,               0.006337,               0.006337
                     40,                0.81013,                 0.3427,                 1.0309,                0.86127,                0.30093,                 1.0424,                 0.8832,                 0.7287,                0.82422,                0.36086,                 1.9527,                0.78777,                 1.2865,                 2.0861,                 1.0707,                 1.2865,               0.006238,               0.006238,               0.006238
                     41,                0.81057,                0.34238,                 1.0275,                 0.8611,                0.30047,                 1.0388,                0.88232,                0.73669,                0.82903,                 0.3603,                 1.9627,                 0.7808,                 1.2867,                 2.0951,                   1.04,                 1.2873,               0.006139,               0.006139,               0.006139
                     42,                0.80438,                0.34055,                 1.0247,                0.85547,                0.29861,                 1.0361,                0.88142,                0.72644,                0.81861,                0.35063,                 1.9928,                0.78786,                 1.3064,                 2.1245,                 1.0672,                 1.3067,                0.00604,                0.00604,                0.00604
                     43,                0.79987,                0.33804,                  1.021,                 0.8484,                0.29432,                 1.0322,                0.87667,                0.71016,                0.79761,                0.33194,                 2.0605,                0.82921,                 1.3472,                 2.1831,                 1.1385,                 1.3394,               0.005941,               0.005941,               0.005941
                     44,                0.79291,                0.33495,                 1.0198,                 0.8414,                 0.2925,                 1.0302,                0.87594,                0.72622,                 0.8075,                 0.3369,                 2.0518,                0.81042,                 1.3393,                 2.1707,                 1.0659,                  1.333,               0.005842,               0.005842,               0.005842
                     45,                0.79824,                0.33762,                   1.02,                0.84646,                0.29572,                 1.0303,                0.87448,                0.73573,                0.81333,                0.34484,                 2.0249,                0.78805,                 1.3258,                 2.1514,                 1.0175,                 1.3236,               0.005743,               0.005743,               0.005743
                     46,                0.79534,                0.33424,                 1.0201,                0.84335,                0.29362,                 1.0303,                0.87753,                0.74764,                0.82409,                0.35371,                 1.9923,                0.76509,                 1.3077,                 2.1261,                0.96901,                 1.3106,               0.005644,               0.005644,               0.005644
                     47,                0.78399,                0.33114,                 1.0127,                0.83236,                0.28988,                 1.0232,                0.87267,                0.75152,                0.82618,                0.35641,                 1.9769,                0.75502,                 1.3011,                 2.1141,                0.95762,                 1.3042,               0.005545,               0.005545,               0.005545
                     48,                0.78427,                0.32807,                 1.0132,                0.83202,                0.28964,                 1.0231,                0.87793,                0.74063,                0.82059,                0.35404,                 1.9771,                0.76231,                 1.3025,                 2.1183,                0.98103,                 1.3067,               0.005446,               0.005446,               0.005446
                     49,                 0.7816,                0.32705,                 1.0123,                0.82937,                0.28825,                 1.0224,                0.87521,                0.73872,                0.81594,                0.35003,                   1.99,                0.76662,                 1.3108,                 2.1275,                0.99806,                 1.3138,               0.005347,               0.005347,               0.005347
                     50,                0.78441,                0.32787,                 1.0111,                0.83276,                0.28725,                 1.0213,                0.87516,                0.72486,                 0.8043,                0.34236,                 2.0127,                0.78625,                 1.3253,                 2.1476,                  1.056,                 1.3256,               0.005248,               0.005248,               0.005248
                     51,                0.78398,                0.32618,                 1.0099,                0.83145,                0.28455,                 1.0204,                 0.8789,                0.72071,                0.80428,                0.34214,                 2.0129,                0.79371,                  1.323,                 2.1489,                 1.0737,                 1.3254,               0.005149,               0.005149,               0.005149
                     52,                0.77362,                0.32229,                 1.0081,                0.82076,                0.28161,                  1.018,                0.88127,                0.71608,                0.80299,                0.34174,                 2.0109,                0.79794,                 1.3223,                 2.1428,                 1.0981,                 1.3225,                0.00505,                0.00505,                0.00505
                     53,                0.76944,                0.32288,                 1.0045,                 0.8164,                0.28246,                 1.0146,                0.88259,                 0.7151,                0.80031,                0.33999,                 2.0154,                 0.8103,                 1.3258,                 2.1424,                 1.1295,                 1.3227,               0.004951,               0.004951,               0.004951
                     54,                0.76691,                0.31896,                 1.0044,                0.81424,                0.27885,                 1.0148,                0.88331,                 0.7172,                 0.8037,                0.34062,                  2.014,                0.80686,                  1.325,                 2.1434,                 1.1246,                 1.3233,               0.004852,               0.004852,               0.004852
                     55,                0.76041,                0.31729,                 1.0006,                0.80687,                0.27684,                 1.0103,                0.88323,                0.72339,                0.80781,                0.34347,                 2.0063,                0.79666,                 1.3209,                 2.1389,                 1.1059,                 1.3212,               0.004753,               0.004753,               0.004753
                     56,                0.75899,                0.31607,                 1.0005,                0.80537,                0.27431,                 1.0099,                0.88419,                0.72339,                0.80823,                 0.3439,                 2.0082,                0.79296,                 1.3231,                 2.1404,                 1.0996,                 1.3224,               0.004654,               0.004654,               0.004654
                     57,                0.75339,                0.31336,                0.99793,                0.79968,                0.27333,                 1.0075,                0.88408,                0.72056,                0.80767,                0.34297,                 2.0135,                 0.7938,                 1.3263,                 2.1443,                 1.1042,                 1.3245,               0.004555,               0.004555,               0.004555
                     58,                0.75687,                0.31528,                0.99836,                0.80225,                0.27442,                 1.0084,                0.88273,                0.71992,                0.80512,                0.34173,                 2.0192,                0.79852,                 1.3311,                 2.1471,                 1.1186,                 1.3275,               0.004456,               0.004456,               0.004456
                     59,                0.76018,                0.31621,                0.99736,                 0.8073,                0.27646,                  1.007,                0.88174,                0.72163,                0.80642,                0.34174,                 2.0198,                0.79775,                 1.3323,                 2.1477,                 1.1149,                  1.329,               0.004357,               0.004357,               0.004357
                     60,                0.74996,                0.31061,                0.99179,                0.79568,                0.27074,                 1.0017,                0.88389,                0.71782,                0.80519,                0.34119,                 2.0215,                0.80201,                 1.3347,                 2.1498,                  1.125,                 1.3306,               0.004258,               0.004258,               0.004258
                     61,                0.74489,                0.30939,                0.99261,                0.79061,                0.26924,                 1.0025,                0.88366,                0.71919,                0.80601,                0.34155,                 2.0208,                0.80268,                 1.3352,                 2.1489,                  1.125,                 1.3317,               0.004159,               0.004159,               0.004159
                     62,                0.74409,                0.30965,                0.99619,                0.78995,                0.27262,                 1.0053,                0.88314,                 0.7172,                0.80332,                0.34063,                 2.0225,                0.80651,                 1.3372,                 2.1517,                 1.1319,                 1.3341,                0.00406,                0.00406,                0.00406
                     63,                0.74092,                0.30655,                0.99483,                0.78572,                0.26965,                 1.0038,                0.88092,                0.71929,                0.80518,                0.34221,                 2.0178,                0.80384,                 1.3352,                  2.147,                 1.1264,                 1.3318,               0.003961,               0.003961,               0.003961
                     64,                0.73266,                0.30417,                 0.9888,                0.77807,                0.26648,                0.99768,                0.88292,                0.72045,                0.80536,                0.34322,                 2.0142,                0.80411,                 1.3338,                 2.1437,                 1.1277,                 1.3306,               0.003862,               0.003862,               0.003862
                     65,                0.73249,                0.30326,                0.98461,                0.77623,                0.26555,                0.99277,                0.88488,                0.72244,                0.80558,                0.34347,                 2.0114,                0.80368,                 1.3326,                 2.1388,                 1.1294,                  1.328,               0.003763,               0.003763,               0.003763
                     66,                 0.7282,                0.30096,                 0.9861,                0.77229,                0.26436,                0.99433,                0.88737,                0.71856,                0.80575,                0.34387,                 2.0106,                0.80515,                 1.3329,                 2.1373,                 1.1361,                 1.3276,               0.003664,               0.003664,               0.003664
                     67,                0.72936,                0.30039,                0.98569,                0.77333,                0.26155,                0.99417,                0.88609,                0.72025,                0.80609,                0.34434,                 2.0086,                0.80548,                 1.3321,                 2.1343,                 1.1371,                 1.3266,               0.003565,               0.003565,               0.003565
                     68,                0.72303,                0.29914,                0.98328,                0.76563,                0.26128,                 0.9918,                0.88502,                0.71646,                0.80288,                0.34281,                 2.0112,                0.81198,                  1.334,                 2.1374,                  1.152,                 1.3288,               0.003466,               0.003466,               0.003466
                     69,                0.71906,                0.29808,                0.98418,                0.76198,                 0.2606,                0.99244,                0.88647,                0.71289,                0.80023,                0.34202,                 2.0128,                0.81895,                 1.3354,                  2.139,                 1.1659,                 1.3302,               0.003367,               0.003367,               0.003367
                     70,                0.72049,                 0.2966,                0.98803,                0.76193,                0.25848,                  0.996,                0.88908,                0.71272,                0.80022,                0.34179,                 2.0132,                0.82213,                 1.3354,                  2.139,                 1.1734,                 1.3303,               0.003268,               0.003268,               0.003268
                     71,                0.71423,                0.29462,                0.98387,                0.75678,                0.25591,                0.99181,                0.88733,                0.70922,                0.79822,                0.34099,                 2.0145,                0.82713,                 1.3367,                 2.1413,                 1.1818,                 1.3318,               0.003169,               0.003169,               0.003169
                     72,                0.70874,                0.29199,                0.98234,                   0.75,                0.25488,                0.99008,                0.88806,                0.70873,                0.79745,                 0.3405,                 2.0154,                 0.8312,                 1.3373,                  2.143,                 1.1891,                 1.3325,                0.00307,                0.00307,                0.00307
                     73,                0.70224,                0.28902,                0.97587,                0.74419,                0.25156,                0.98382,                0.88874,                0.70357,                0.79456,                0.33894,                 2.0183,                0.83885,                 1.3399,                 2.1465,                 1.2057,                 1.3348,               0.002971,               0.002971,               0.002971
                     74,                0.70485,                0.29187,                 0.9709,                0.74858,                0.25517,                0.97899,                 0.8906,                0.70247,                0.79433,                0.33912,                  2.018,                0.84009,                 1.3402,                 2.1462,                 1.2067,                 1.3348,               0.002872,               0.002872,               0.002872
                     75,                0.69966,                0.28785,                0.97243,                0.74108,                0.25115,                0.98018,                0.89036,                0.70271,                0.79404,                0.33918,                 2.0173,                0.84027,                 1.3404,                 2.1459,                 1.2054,                 1.3351,               0.002773,               0.002773,               0.002773
                     76,                0.69638,                 0.2861,                0.96989,                0.73899,                0.24986,                0.97793,                0.88968,                0.70323,                0.79359,                0.33887,                 2.0178,                0.84158,                  1.341,                 2.1451,                 1.2066,                 1.3353,               0.002674,               0.002674,               0.002674
                     77,                0.69319,                 0.2863,                0.97184,                0.73522,                0.25058,                   0.98,                0.88759,                0.70386,                0.79449,                0.33932,                 2.0168,                0.84059,                 1.3408,                 2.1439,                 1.2028,                 1.3353,               0.002575,               0.002575,               0.002575
                     78,                0.68696,                0.28336,                0.96921,                0.72847,                0.24854,                0.97683,                0.88733,                0.70365,                0.79408,                0.33843,                 2.0169,                0.84123,                 1.3414,                  2.144,                 1.2033,                 1.3356,               0.002476,               0.002476,               0.002476
                     79,                0.68659,                  0.282,                0.96771,                0.72769,                0.24592,                0.97548,                0.88566,                0.70418,                0.79421,                 0.3389,                 2.0156,                 0.8409,                 1.3412,                 2.1418,                 1.2049,                 1.3354,               0.002377,               0.002377,               0.002377
                     80,                 0.6851,                0.28192,                0.97009,                0.72602,                0.24797,                0.97779,                 0.8854,                0.70344,                0.79375,                0.33835,                 2.0159,                0.84224,                  1.342,                 2.1424,                 1.2068,                 1.3361,               0.002278,               0.002278,               0.002278
                     81,                0.68133,                0.27934,                0.96454,                 0.7223,                 0.2446,                0.97158,                 0.8862,                0.70387,                0.79461,                0.33818,                 2.0143,                0.84293,                 1.3418,                 2.1405,                 1.2063,                 1.3358,               0.002179,               0.002179,               0.002179
                     82,                0.67695,                0.27763,                0.96725,                0.71648,                0.24245,                0.97416,                0.88601,                0.70376,                0.79414,                0.33869,                 2.0132,                0.84259,                 1.3413,                 2.1416,                 1.2029,                 1.3368,                0.00208,                0.00208,                0.00208
                     83,                0.66892,                0.27438,                0.96269,                0.70877,                0.23902,                0.96948,                0.88578,                0.70439,                0.79366,                0.33804,                 2.0127,                0.84273,                 1.3413,                 2.1413,                 1.2035,                 1.3359,               0.001981,               0.001981,               0.001981
                     84,                0.67095,                0.27495,                0.96254,                0.71072,                0.24014,                0.96954,                 0.8838,                0.70586,                0.79409,                0.33908,                 2.0105,                0.84168,                 1.3401,                 2.1406,                 1.1997,                 1.3356,               0.001882,               0.001882,               0.001882
                     85,                0.66541,                0.27235,                0.95762,                0.70524,                0.23852,                0.96454,                0.88355,                0.70408,                0.79362,                0.33829,                 2.0112,                0.84334,                 1.3406,                 2.1416,                 1.2034,                 1.3361,               0.001783,               0.001783,               0.001783
                     86,                0.65989,                0.27081,                0.95135,                0.69892,                0.23752,                0.95844,                0.88123,                0.70355,                  0.793,                0.33752,                 2.0119,                0.84556,                 1.3412,                 2.1418,                 1.2083,                 1.3364,               0.001684,               0.001684,               0.001684
                     87,                0.65796,                0.27035,                0.95157,                0.69686,                0.23691,                0.95785,                0.88052,                0.70246,                0.79183,                0.33645,                 2.0136,                0.85012,                 1.3426,                 2.1444,                 1.2154,                 1.3382,               0.001585,               0.001585,               0.001585
                     88,                0.65209,                0.26714,                 0.9541,                   0.69,                0.23306,                0.96105,                0.88166,                0.70234,                0.79185,                0.33673,                 2.0132,                0.85115,                 1.3427,                  2.145,                  1.215,                 1.3385,               0.001486,               0.001486,               0.001486
                     89,                0.64779,                0.26477,                0.95023,                0.68602,                0.23119,                0.95696,                0.88151,                0.70207,                0.79249,                0.33697,                 2.0116,                0.85139,                 1.3423,                  2.144,                  1.214,                 1.3382,               0.001387,               0.001387,               0.001387
                     90,                0.64268,                0.26306,                 0.9461,                0.68085,                0.23014,                0.95303,                0.88259,                0.70309,                0.79383,                0.33727,                 2.0111,                0.85302,                 1.3424,                 2.1443,                 1.2116,                 1.3386,               0.001288,               0.001288,               0.001288
                     91,                0.61648,                0.23876,                0.95559,                0.63742,                0.19746,                0.95972,                0.88215,                0.70418,                0.79459,                 0.3375,                 2.0106,                0.85318,                 1.3425,                 2.1448,                 1.2086,                  1.339,               0.001189,               0.001189,               0.001189
                     92,                0.60812,                 0.2357,                0.95209,                0.62899,                0.19346,                0.95596,                0.88149,                0.70407,                0.79497,                0.33787,                 2.0101,                0.85425,                 1.3424,                  2.144,                 1.2082,                 1.3391,                0.00109,                0.00109,                0.00109
                     93,                0.60182,                0.23362,                0.94698,                0.62259,                0.19192,                0.95092,                0.88028,                0.70428,                0.79459,                0.33754,                 2.0103,                0.85653,                 1.3428,                 2.1457,                 1.2089,                 1.3401,               0.000991,               0.000991,               0.000991
                     94,                0.59609,                0.23088,                0.94148,                 0.6162,                0.18997,                0.94544,                 0.8824,                0.70439,                0.79466,                 0.3369,                 2.0103,                0.85815,                 1.3431,                  2.146,                 1.2118,                 1.3407,               0.000892,               0.000892,               0.000892
                     95,                0.59177,                0.22883,                0.94263,                0.61217,                0.18804,                0.94637,                0.88125,                0.70449,                0.79397,                0.33672,                 2.0112,                0.86028,                 1.3441,                 2.1478,                  1.214,                 1.3421,               0.000793,               0.000793,               0.000793
                     96,                0.58647,                0.22715,                0.93857,                 0.6065,                0.18615,                0.94226,                0.88137,                0.70426,                0.79469,                 0.3364,                 2.0117,                0.86209,                 1.3454,                 2.1474,                 1.2181,                 1.3426,               0.000694,               0.000694,               0.000694
                     97,                0.57903,                0.22416,                0.93606,                0.59913,                0.18326,                0.93967,                0.88113,                0.70418,                0.79515,                0.33686,                 2.0111,                0.86226,                 1.3456,                 2.1461,                  1.216,                 1.3428,               0.000595,               0.000595,               0.000595
                     98,                0.57589,                0.22278,                0.93178,                0.59579,                0.18232,                0.93526,                0.88215,                0.70449,                0.79524,                0.33708,                 2.0107,                0.86255,                 1.3457,                 2.1464,                 1.2119,                 1.3439,               0.000496,               0.000496,               0.000496
                     99,                0.57092,                0.22083,                0.93006,                0.59051,                0.18124,                0.93337,                0.88162,                0.70442,                0.79669,                0.33754,                 2.0107,                0.86176,                 1.3464,                  2.147,                 1.2069,                 1.3449,               0.000397,               0.000397,               0.000397
                    100,                0.56788,                0.21948,                0.93014,                0.58712,                0.18029,                0.93362,                0.88012,                0.70565,                0.79694,                0.33762,                 2.0103,                0.86168,                 1.3467,                 2.1466,                 1.2048,                 1.3452,               0.000298,               0.000298,               0.000298
